"Gender","Age","Contract","MonthlyCharges","Tenure","InternetService","PhoneService","MultipleLines","PaymentMethod","Churn"
"Female",66,"Month-to-Month",87.78,30,"No","Yes","Yes","Bank transfer (automatic)","No"
"Female",46,"Two Year",80.78,33,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",70,"One Year",49.53,57,"No","Yes","No phone service","Electronic check","No"
"Male",61,"Month-to-Month",33.66,52,"DSL","Yes","No","Mailed check","No"
"Female",74,"Two Year",85.16,9,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",33,"Month-to-Month",93.86,54,"Fiber optic","Yes","No phone service","Electronic check","No"
"Male",73,"One Year",51.56,1,"No","Yes","No phone service","Electronic check","No"
"Male",61,"Month-to-Month",84.48,44,"DSL","Yes","No","Mailed check","No"
"Male",64,"One Year",59.51,9,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",74,"One Year",91.32,32,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Female",27,"One Year",39.92,15,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",47,"One Year",109.02,12,"DSL","Yes","Yes","Electronic check","No"
"Female",42,"Month-to-Month",48.74,57,"No","No","Yes","Bank transfer (automatic)","Yes"
"Female",56,"Month-to-Month",56.78,8,"Fiber optic","Yes","Yes","Electronic check","Yes"
"Male",37,"Month-to-Month",25.81,27,"Fiber optic","Yes","Yes","Bank transfer (automatic)","No"
"Female",22,"Month-to-Month",31.15,62,"Fiber optic","No","No","Mailed check","Yes"
"Female",18,"One Year",71.59,12,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
"Female",47,"Month-to-Month",46.76,65,"DSL","No","No","Electronic check","Yes"
"Female",66,"Two Year",103.55,42,"DSL","No","Yes","Credit card (automatic)","No"
"Male",20,"One Year",21.47,62,"Fiber optic","Yes","No phone service","Credit card (automatic)","No"
"Male",62,"One Year",57.91,11,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Male",31,"Month-to-Month",53.73,43,"Fiber optic","Yes","No","Electronic check","No"
"Male",73,"One Year",21.93,17,"DSL","Yes","No phone service","Bank transfer (automatic)","Yes"
"Female",47,"Two Year",32.44,32,"Fiber optic","Yes","No","Credit card (automatic)","Yes"
"Female",67,"Month-to-Month",61.36,40,"No","Yes","No","Credit card (automatic)","No"
"Male",21,"One Year",69.29,23,"No","Yes","No phone service","Credit card (automatic)","No"
"Female",35,"One Year",60.43,56,"No","Yes","Yes","Mailed check","No"
"Male",54,"Month-to-Month",73.09,6,"Fiber optic","Yes","No","Electronic check","No"
"Male",42,"Month-to-Month",79.51,50,"Fiber optic","Yes","No","Electronic check","No"
"Male",65,"Month-to-Month",20.99,37,"Fiber optic","Yes","Yes","Electronic check","No"
"Male",18,"Month-to-Month",66.41,64,"DSL","Yes","No phone service","Electronic check","No"
"Female",70,"Month-to-Month",116.35,54,"Fiber optic","No","No phone service","Electronic check","Yes"
"Male",63,"Month-to-Month",71.9,49,"Fiber optic","No","No","Mailed check","No"
"Female",32,"Month-to-Month",87.75,11,"DSL","Yes","Yes","Bank transfer (automatic)","No"
"Female",26,"Month-to-Month",51.19,49,"Fiber optic","Yes","Yes","Mailed check","Yes"
"Male",32,"Two Year",97.4,21,"No","Yes","No","Credit card (automatic)","No"
"Female",66,"Month-to-Month",97.29,66,"DSL","Yes","Yes","Mailed check","Yes"
"Female",74,"Two Year",72.13,63,"No","Yes","No","Electronic check","No"
"Male",41,"Month-to-Month",117.6,28,"DSL","Yes","No","Mailed check","No"
"Male",21,"Month-to-Month",32.56,17,"Fiber optic","No","No","Electronic check","No"
"Male",29,"Month-to-Month",21.69,6,"Fiber optic","Yes","No","Mailed check","No"
"Male",54,"Month-to-Month",97.02,19,"Fiber optic","Yes","No","Electronic check","No"
"Male",54,"Month-to-Month",100.72,56,"No","Yes","Yes","Credit card (automatic)","No"
"Female",60,"One Year",32.02,28,"No","Yes","Yes","Electronic check","No"
"Female",23,"Month-to-Month",46.56,66,"Fiber optic","Yes","No","Mailed check","No"
"Male",56,"One Year",21.76,38,"DSL","Yes","No","Credit card (automatic)","No"
"Male",73,"One Year",49.33,37,"No","Yes","No","Mailed check","No"
"Female",63,"Month-to-Month",97.31,68,"DSL","Yes","No","Credit card (automatic)","Yes"
"Male",41,"Month-to-Month",71.8,49,"No","Yes","No phone service","Bank transfer (automatic)","No"
"Male",28,"One Year",54.81,43,"Fiber optic","Yes","Yes","Bank transfer (automatic)","Yes"
"Male",30,"Month-to-Month",57.17,36,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",51,"Month-to-Month",20.14,58,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",42,"Two Year",49.98,13,"DSL","Yes","No","Mailed check","Yes"
"Female",24,"Month-to-Month",84.65,52,"DSL","Yes","No","Credit card (automatic)","No"
"Female",69,"One Year",117.42,58,"Fiber optic","Yes","No phone service","Credit card (automatic)","No"
"Male",21,"Two Year",104.71,32,"DSL","Yes","No","Credit card (automatic)","No"
"Female",25,"Month-to-Month",22.36,60,"DSL","Yes","No phone service","Credit card (automatic)","No"
"Male",37,"Month-to-Month",109.86,58,"DSL","Yes","No phone service","Electronic check","No"
"Female",46,"Month-to-Month",98.32,56,"Fiber optic","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",71,"Month-to-Month",98.04,28,"DSL","No","No","Electronic check","No"
"Female",70,"Month-to-Month",65.8,1,"Fiber optic","Yes","No","Electronic check","No"
"Male",68,"One Year",59.8,42,"DSL","Yes","Yes","Electronic check","No"
"Female",62,"Month-to-Month",50.29,48,"No","Yes","No","Electronic check","No"
"Male",63,"Month-to-Month",26.57,40,"No","Yes","No","Bank transfer (automatic)","No"
"Male",27,"Two Year",42.82,63,"DSL","Yes","Yes","Electronic check","No"
"Male",60,"One Year",44.66,4,"Fiber optic","No","No","Credit card (automatic)","No"
"Female",51,"One Year",68.41,38,"No","Yes","No","Mailed check","Yes"
"Female",74,"Month-to-Month",94.74,27,"No","Yes","Yes","Credit card (automatic)","No"
"Male",43,"One Year",67.38,9,"Fiber optic","No","No","Mailed check","No"
"Female",58,"Month-to-Month",25.78,16,"DSL","No","Yes","Credit card (automatic)","Yes"
"Male",66,"Month-to-Month",115.78,56,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",20,"Month-to-Month",114.27,31,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",73,"One Year",98.52,14,"Fiber optic","Yes","No phone service","Bank transfer (automatic)","No"
"Female",23,"Month-to-Month",119.13,25,"Fiber optic","Yes","No","Electronic check","Yes"
"Male",22,"Month-to-Month",74.45,34,"No","Yes","Yes","Credit card (automatic)","No"
"Female",22,"Month-to-Month",116.28,67,"No","Yes","No","Bank transfer (automatic)","Yes"
"Male",71,"Month-to-Month",27.56,24,"DSL","Yes","No","Electronic check","No"
"Male",64,"One Year",56.57,26,"DSL","Yes","No","Bank transfer (automatic)","Yes"
"Male",40,"One Year",42.54,20,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",66,"One Year",39.58,64,"No","Yes","No","Electronic check","No"
"Female",26,"Month-to-Month",34.08,10,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Male",52,"Month-to-Month",82.24,67,"Fiber optic","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",37,"Month-to-Month",98.13,24,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",66,"Month-to-Month",77.83,5,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",59,"Month-to-Month",34.7,67,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Female",52,"One Year",101.11,58,"Fiber optic","Yes","No phone service","Electronic check","No"
"Male",67,"Month-to-Month",83.6,27,"Fiber optic","Yes","Yes","Mailed check","No"
"Male",35,"Month-to-Month",58.82,15,"No","Yes","No","Credit card (automatic)","No"
"Female",34,"Month-to-Month",87.41,35,"No","Yes","Yes","Mailed check","Yes"
"Female",41,"Month-to-Month",45.99,53,"No","Yes","Yes","Mailed check","Yes"
"Female",20,"Month-to-Month",54.52,44,"Fiber optic","Yes","No phone service","Bank transfer (automatic)","No"
"Male",49,"Two Year",111.75,26,"Fiber optic","Yes","Yes","Credit card (automatic)","Yes"
"Male",52,"One Year",49.05,47,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",55,"Two Year",67,34,"No","Yes","Yes","Credit card (automatic)","No"
"Female",30,"Month-to-Month",109.01,50,"DSL","No","No","Mailed check","No"
"Female",73,"Month-to-Month",90.77,12,"Fiber optic","Yes","No phone service","Electronic check","Yes"
"Female",64,"Month-to-Month",26.22,4,"DSL","Yes","Yes","Mailed check","Yes"
"Female",42,"Month-to-Month",34.73,48,"Fiber optic","Yes","No phone service","Credit card (automatic)","No"
"Male",26,"One Year",20.78,55,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",21,"Month-to-Month",83.09,1,"Fiber optic","No","No","Credit card (automatic)","No"
"Female",31,"Month-to-Month",64.77,66,"DSL","Yes","No","Mailed check","Yes"
"Female",54,"Month-to-Month",33.43,30,"Fiber optic","Yes","No phone service","Credit card (automatic)","Yes"
"Male",51,"Month-to-Month",115.79,3,"No","Yes","Yes","Bank transfer (automatic)","Yes"
"Male",28,"One Year",72.97,21,"DSL","Yes","Yes","Credit card (automatic)","No"
"Female",58,"Month-to-Month",44.19,49,"Fiber optic","Yes","No phone service","Electronic check","Yes"
"Male",73,"Month-to-Month",70.06,62,"Fiber optic","Yes","No","Bank transfer (automatic)","Yes"
"Male",20,"Month-to-Month",87.96,38,"No","Yes","Yes","Credit card (automatic)","Yes"
"Female",45,"Month-to-Month",27.62,15,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",46,"One Year",47.47,52,"No","No","No","Credit card (automatic)","No"
"Female",26,"One Year",100.7,46,"Fiber optic","No","No","Electronic check","No"
"Male",20,"Two Year",65.97,25,"No","Yes","Yes","Credit card (automatic)","Yes"
"Female",42,"One Year",74.66,21,"No","Yes","No","Bank transfer (automatic)","No"
"Male",51,"Month-to-Month",63.28,5,"DSL","Yes","Yes","Electronic check","No"
"Male",29,"One Year",24.39,70,"DSL","Yes","No","Mailed check","Yes"
"Female",59,"Month-to-Month",36.57,47,"DSL","Yes","No phone service","Electronic check","Yes"
"Female",26,"Month-to-Month",64.55,68,"Fiber optic","Yes","No","Electronic check","No"
"Female",32,"One Year",40.92,18,"DSL","Yes","Yes","Electronic check","Yes"
"Female",57,"Month-to-Month",25,21,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",42,"Two Year",104.36,23,"Fiber optic","Yes","No","Electronic check","No"
"Male",22,"Month-to-Month",118.12,64,"DSL","No","No","Credit card (automatic)","No"
"Male",28,"One Year",99.31,67,"DSL","No","Yes","Electronic check","No"
"Male",51,"One Year",105.38,40,"Fiber optic","Yes","No","Electronic check","No"
"Male",41,"One Year",44.2,10,"DSL","Yes","Yes","Credit card (automatic)","No"
"Female",32,"One Year",116.06,52,"Fiber optic","No","Yes","Credit card (automatic)","No"
"Male",55,"One Year",39.69,61,"Fiber optic","No","Yes","Mailed check","Yes"
"Female",25,"Month-to-Month",115.14,64,"Fiber optic","Yes","Yes","Electronic check","No"
"Female",22,"Month-to-Month",119.48,5,"No","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",65,"Month-to-Month",91.17,53,"Fiber optic","Yes","No","Electronic check","No"
"Female",43,"One Year",118.11,55,"Fiber optic","Yes","No phone service","Electronic check","No"
"Female",35,"Month-to-Month",76.95,37,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Male",23,"One Year",45.95,56,"No","Yes","Yes","Mailed check","No"
"Male",54,"Month-to-Month",63.7,59,"No","No","Yes","Electronic check","No"
"Female",65,"Month-to-Month",79.36,69,"No","Yes","Yes","Bank transfer (automatic)","No"
"Male",30,"One Year",27.31,59,"Fiber optic","Yes","Yes","Electronic check","No"
"Male",45,"Month-to-Month",82.23,2,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",22,"Month-to-Month",118.12,65,"DSL","Yes","No","Credit card (automatic)","No"
"Male",30,"Month-to-Month",39.01,60,"DSL","Yes","Yes","Mailed check","No"
"Female",34,"Two Year",99.26,51,"No","Yes","Yes","Electronic check","No"
"Female",67,"One Year",110.79,30,"Fiber optic","Yes","Yes","Mailed check","No"
"Female",57,"Month-to-Month",114.37,11,"Fiber optic","Yes","Yes","Electronic check","Yes"
"Male",62,"Month-to-Month",116.01,39,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
"Male",49,"Month-to-Month",72.15,63,"No","Yes","Yes","Mailed check","No"
"Female",46,"One Year",117.73,64,"DSL","Yes","No","Electronic check","No"
"Male",68,"One Year",95.73,61,"DSL","Yes","No","Credit card (automatic)","No"
"Female",20,"Month-to-Month",36.17,54,"Fiber optic","Yes","No phone service","Bank transfer (automatic)","No"
"Female",73,"Month-to-Month",67.69,58,"Fiber optic","Yes","No phone service","Mailed check","Yes"
"Female",57,"Month-to-Month",91.83,56,"Fiber optic","Yes","No","Electronic check","Yes"
"Male",51,"One Year",44.73,34,"No","Yes","Yes","Mailed check","No"
"Male",57,"One Year",84.06,31,"DSL","Yes","No","Electronic check","Yes"
"Female",44,"Month-to-Month",86.66,52,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
"Male",30,"Month-to-Month",36.27,1,"Fiber optic","Yes","Yes","Credit card (automatic)","No"
"Male",62,"Month-to-Month",76.51,55,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",50,"Two Year",97.16,22,"No","Yes","No phone service","Mailed check","No"
"Female",23,"Month-to-Month",69.89,40,"Fiber optic","Yes","No","Mailed check","Yes"
"Female",41,"One Year",21.21,1,"Fiber optic","Yes","Yes","Electronic check","No"
"Female",36,"One Year",20.9,65,"No","Yes","Yes","Bank transfer (automatic)","No"
"Male",33,"Month-to-Month",55.7,63,"Fiber optic","Yes","No","Electronic check","No"
"Female",57,"Month-to-Month",112.62,54,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",45,"Month-to-Month",42.87,42,"Fiber optic","Yes","No","Mailed check","No"
"Male",50,"One Year",83.44,21,"Fiber optic","Yes","No","Electronic check","Yes"
"Female",65,"One Year",42.21,22,"DSL","Yes","Yes","Electronic check","No"
"Female",58,"One Year",52.17,38,"DSL","Yes","No phone service","Bank transfer (automatic)","Yes"
"Female",30,"Month-to-Month",104.8,8,"Fiber optic","Yes","No","Credit card (automatic)","Yes"
"Female",60,"Month-to-Month",92.89,62,"Fiber optic","Yes","Yes","Bank transfer (automatic)","Yes"
"Female",62,"Two Year",29.54,47,"DSL","Yes","No","Credit card (automatic)","No"
"Male",42,"One Year",62.87,17,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
"Male",70,"Month-to-Month",22.92,17,"No","Yes","No","Mailed check","No"
"Female",59,"Two Year",68.09,13,"DSL","Yes","No phone service","Electronic check","No"
"Female",53,"One Year",86.24,17,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",44,"Month-to-Month",31.85,38,"Fiber optic","Yes","No phone service","Mailed check","No"
"Female",55,"One Year",48.89,45,"DSL","Yes","No","Bank transfer (automatic)","No"
"Female",24,"One Year",59.78,6,"Fiber optic","Yes","No","Electronic check","Yes"
"Female",22,"One Year",111.95,35,"DSL","Yes","No phone service","Bank transfer (automatic)","No"
"Female",60,"Month-to-Month",119.33,14,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",62,"Month-to-Month",24.49,61,"Fiber optic","Yes","Yes","Electronic check","No"
"Female",74,"Two Year",96.1,15,"Fiber optic","Yes","No","Credit card (automatic)","No"
"Female",68,"Month-to-Month",57.17,54,"No","Yes","No","Mailed check","Yes"
"Female",48,"Month-to-Month",59.25,27,"No","Yes","Yes","Mailed check","Yes"
"Male",40,"Month-to-Month",95.43,13,"Fiber optic","Yes","No phone service","Bank transfer (automatic)","No"
"Male",59,"Month-to-Month",111.84,31,"Fiber optic","Yes","Yes","Credit card (automatic)","Yes"
"Male",27,"One Year",115.09,35,"DSL","Yes","Yes","Credit card (automatic)","Yes"
"Female",49,"Two Year",77.71,60,"Fiber optic","Yes","No phone service","Electronic check","Yes"
"Male",60,"Month-to-Month",55.71,6,"DSL","Yes","No","Credit card (automatic)","No"
"Male",70,"Month-to-Month",98.75,69,"No","Yes","Yes","Credit card (automatic)","Yes"
"Female",47,"Month-to-Month",45.1,58,"Fiber optic","Yes","No","Electronic check","No"
"Male",56,"One Year",76.41,49,"Fiber optic","Yes","No","Electronic check","No"
"Female",48,"One Year",55.86,23,"DSL","No","Yes","Credit card (automatic)","No"
"Male",35,"Month-to-Month",85.66,34,"Fiber optic","No","No phone service","Bank transfer (automatic)","Yes"
"Male",53,"One Year",44.04,26,"No","Yes","No","Electronic check","No"
"Female",19,"One Year",39.16,47,"Fiber optic","Yes","No","Electronic check","No"
"Male",31,"One Year",111.82,5,"No","Yes","No","Credit card (automatic)","No"
"Male",30,"Two Year",30.18,20,"DSL","Yes","No","Credit card (automatic)","No"
"Female",46,"Month-to-Month",70.6,6,"Fiber optic","Yes","Yes","Electronic check","No"
"Female",29,"One Year",42.09,70,"No","Yes","Yes","Credit card (automatic)","Yes"
"Male",56,"Month-to-Month",23.89,59,"Fiber optic","Yes","No","Electronic check","No"
"Female",19,"One Year",23.6,64,"No","Yes","No phone service","Bank transfer (automatic)","No"
"Male",49,"One Year",37.52,18,"DSL","Yes","Yes","Bank transfer (automatic)","Yes"
"Male",30,"One Year",106.68,4,"DSL","Yes","No","Electronic check","No"
"Female",63,"One Year",48.25,17,"No","Yes","No phone service","Electronic check","No"
"Female",44,"Month-to-Month",115.05,14,"DSL","Yes","Yes","Mailed check","Yes"
"Female",66,"Month-to-Month",78.16,13,"No","Yes","Yes","Mailed check","Yes"
"Female",58,"Two Year",63.66,7,"No","Yes","Yes","Credit card (automatic)","Yes"
"Female",34,"Two Year",78.01,44,"DSL","Yes","No","Credit card (automatic)","No"
"Female",57,"Month-to-Month",71.67,15,"Fiber optic","No","Yes","Electronic check","Yes"
"Male",48,"Month-to-Month",95.88,19,"DSL","No","No","Electronic check","Yes"
"Female",51,"Month-to-Month",48.25,63,"Fiber optic","Yes","No","Mailed check","Yes"
"Male",41,"One Year",55.31,35,"DSL","Yes","No","Mailed check","No"
"Male",62,"One Year",109.41,35,"DSL","Yes","Yes","Electronic check","No"
"Male",52,"Month-to-Month",114.65,19,"Fiber optic","Yes","No","Bank transfer (automatic)","No"
